,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,High,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day,Worst_day
,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2,T_amb,T_gc_out,P_h_2,alpha_2,delta_h_CO2_2,beta_2_max,COP_star_2,COP_CO2_2,COP_DMS_CO2
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,278.7092356687898,287.1771311703821,4969029.035542032,0.1058481325762249,205.2470916736529,0.0,6.145653493307847,6.0645152558390185,7.034857898264528,288.1791338582677,295.7856605561024,6092375.536263124,0.2156972931589865,177.06809755974868,0.0980303656729215,3.889803839723448,3.608358590319467,6.093139460508012,297.1771604938272,303.2992083333333,7238330.930303957,0.45,136.1806215343895,0.1757017250605485,2.607275283112599,2.092038687886776,5.759373159270258,301.95,306.95,8289110.999215246,0.45,138.2180187682134,0.160855732121135,2.139788351166832,1.7102892427448348,4.841797435138182
9,280.2872611464968,288.6341307474124,5146726.063346292,0.1222678623278429,200.91658504038617,0.0,5.654336051528656,5.542424800952392,6.772824312572321,290.16417322834644,297.5075575787402,6339791.616211656,0.2490114330132875,170.28418172995185,0.1185768819908341,3.5653417729933983,3.24567481255294,5.898240939591558,299.49567901234565,304.49567901234565,7709170.964763658,0.45,144.2426123083878,0.0,2.4324361080278165,2.003829343746368,4.636034378026612,304.4,309.4,8846882.483498827,0.45,132.25320765539246,0.2379457005761623,1.8885057696326333,1.473496131190252,5.04796984089506
10,281.9907643312102,290.1686693869427,5339147.121162931,0.1385323073095518,196.2035883627788,0.0,5.195797666500053,5.04992917008716,6.564570865118562,291.96535433070864,299.00497594734253,6561818.482705918,0.2941417150623439,163.77228472429886,0.1291926888276495,3.304980283125049,2.948956267407137,5.605884028944794,301.7216049382716,306.7216049382716,8236020.054427724,0.45,138.7761400666493,0.1539550546009764,2.1651976701516578,1.7349428330102248,4.823308965187148,306.95,311.95,9405540.43834287,0.45,126.11102550626347,0.3244360747058276,1.661841387495415,1.2707797395668596,5.2565378971281165
11,283.51401273885347,291.6530961136544,5530576.737231745,0.1557982544720958,191.470432752203,0.0,4.805602551800348,4.62029625150195,6.471574732959755,293.5070866141732,300.3920028297244,6773521.028840126,0.3459375665195535,156.9546462239879,0.1405370924187589,3.080783832716224,2.68339890810215,5.386771463851099,303.6506172839506,308.6506172839506,8678537.987872927,0.45,134.0728493736493,0.2137553201262309,1.9615035072547709,1.5409726698843842,4.984046436685413,309.35,314.35,9912101.254384344,0.45,120.41687526827508,0.4120991747131136,1.4755110774413251,1.111003757738266,5.446400254679974
12,284.72707006369427,292.62212042197456,5658426.122852252,0.1634574791475636,188.27299827924583,0.0,4.567578118574789,4.361034008882109,6.430914595048705,294.78385826771654,301.44302189960626,6938064.086254671,0.3933964036399877,150.97273700748158,0.1530074497759249,2.9153938640798334,2.482727714982748,5.234001705979716,305.1765432098765,310.1765432098765,9019289.790085215,0.45,130.37369322496832,0.2635947000901462,1.8159981195891288,1.407613477202317,5.111505830503607,311.29999999999995,316.29999999999995,10309656.88112336,0.45,115.84529852878345,0.4884522382863243,1.3405351150586384,0.9987754708856612,5.594817838729746
13,285.66146496815287,293.5262351214172,5779818.105563584,0.179346919997917,185.2014136376114,0.074833388593511,4.36239494026593,4.132373830408896,6.325667059409995,295.4700787401575,301.98054613681103,7023681.144900846,0.4240125469840201,147.47607592379634,0.1595953674442405,2.8315317971384504,2.377742339639723,5.149194186130929,306.24197530864194,311.24197530864194,9252562.66591897,0.45,127.80738664521904,0.2997629490988342,1.721518746378605,1.3232851696466266,5.197233913147287,312.7,317.7,10586925.18251105,0.45,112.5852130626674,0.5465458897840771,1.251645334386626,0.9263425154008132,5.699028365288687
14,286.18248407643307,294.0373928642516,5849366.0072101625,0.1861862713618069,183.4227439377428,0.0805809600093162,4.251557048269302,4.008240113669348,6.308322996385494,296.1055118110236,302.4705455216535,7102644.818182117,0.45,143.88400118966774,0.1736456806028804,2.754349310962861,2.2784916733983414,5.139726830516521,306.96049382716046,311.96049382716046,9407795.303966071,0.45,126.08593282986445,0.3248057723286742,1.6609846505706694,1.270021452027375,5.257753538608453,313.4,318.4,10722936.904977793,0.45,110.96067406702112,0.5767255024617973,1.2095409021482102,0.8923912342189348,5.753209143347339
15,286.2248407643312,294.12076520203027,5860773.193852748,0.1883819153556048,183.12953215373656,0.0804829013731733,4.234383457890817,3.988324926954735,6.296462489640019,296.2251968503937,302.53599827755903,7113261.386613573,0.45,143.36490594603868,0.1795919606077049,2.7431988872000588,2.2648314668513763,5.169679326067468,307.2308641975308,312.2308641975308,9465778.577128556,0.45,125.44020886040497,0.3343680713366193,1.638731062554209,1.2506781340214674,5.277679655288139,313.54999999999995,318.54999999999995,10751853.534850964,0.45,110.6129981080166,0.5832958910373537,1.200682978447163,0.8853002102455131,5.762901145804223
16,285.80668789808914,293.6925387639331,5802372.002612904,0.1774788515261855,184.626240840355,0.0807461239633933,4.325834323848425,4.091596865659217,6.385605554402561,296.01889763779525,302.42317839566925,7094972.07442789,0.45,144.2530677940682,0.1694431670531313,2.762458372815309,2.2883062520714823,5.1200163754323285,307.14259259259256,312.14259259259256,9446873.881353298,0.45,125.65090804388775,0.3312376104742611,1.645962409077539,1.2569526788100729,5.271254606992399,312.9,317.9,10625964.988431828,0.45,112.12070881757936,0.555088730792637,1.2394639929337177,0.9164949926949368,5.714496760246446
17,284.6140127388535,292.5318070511545,5646412.553709239,0.1613164000667098,188.5749569844277,0.0,4.589205104985134,4.384552903644011,6.45769112480275,295.21220472440945,301.76842002952753,6989770.864567655,0.4110675663620672,148.90198745236714,0.1571649338708716,2.864455449375264,2.419521562254239,5.183179091399934,306.57901234567896,311.57901234567896,9325584.97241291,0.45,126.9989322010624,0.3114435519168076,1.6928035532071226,1.2979567268795964,5.2249339711299605,312.4,317.4,10528097.20289888,0.45,113.2825154930689,0.5338487885034252,1.2702095345963036,0.94134083825208,5.679705084630369
